 CodigoDpto ;Año; Departamento ;Población
 05 ;2025; Antioquia ;6.951.825
 08 ;2025; Atlántico ;2.845.169
 11 ;2025; Bogotá, D.C. ;7.937.898
 13 ;2025; Bolívar ;2.278.770
 15 ;2025; Boyacá ;1.324.122
 17 ;2025; Caldas ;1.051.282
 18 ;2025; Caquetá ;430.884
 19 ;2025; Cauca ;1.590.171
 20 ;2025; Cesar ;1.414.859
 23 ;2025; Córdoba ;1.929.336
 25 ;2025; Cundinamarca ;3.657.407
 27 ;2025; Chocó ;615.082
 41 ;2025; Huila ;1.205.318
 44 ;2025; La Guajira ;1.073.851
 47 ;2025; Magdalena ;1.529.038
 50 ;2025; Meta ;1.160.351
 52 ;2025; Nariño ;1.719.281
 54 ;2025; Norte de Santander ;1.717.992
 63 ;2025; Quindio ;568.560
 66 ;2025; Risaralda ;974.639
 68 ;2025; Santander ;2.393.214
 70 ;2025; Sucre ;1.016.826
 73 ;2025; Tolima ;1.386.826
 76 ;2025; Valle del Cauca ;4.652.512
 81 ;2025; Arauca ;320.723
 85 ;2025; Casanare ;481.938
 86 ;2025; Putumayo ;393.988
 88 ;2025; Archipiélago de San Andrés ;62.181
 91 ;2025; Amazonas ;87.480
 94 ;2025; Guainía ;59.240
 95 ;2025; Guaviare ;103.237
 97 ;2025; Vaupés ;49.142
 99 ;2025; Vichada ;127.467
;;;53.110.609
